16436
1
LAE03
0	-10.72506
0	-18.12506
0	-14.82506
0	-23.62506
0	-24.72506
0	-24.12506
0	-24.92506
0	-22.52506
0	-19.32506
2.75	-13.82506
3.3	-11.02506
2.75	-8.52506
15.07	-6.92506
8.03	-8.92506
0.011	-17.62506
0	-20.92506
0.22	-20.22506
1.54	-15.52506
1.32	-15.02506
0	-17.72506
0	-18.72506
0	-18.02506
0	-15.92506
1.54	-11.82506
1.65	-9.12506
0.88	-8.52506
7.15	-11.82506
1.54	-12.02506
0	-16.62506
0	-15.82506
0	-16.92506
0	-18.02506
0	-9.82506
8.47	-13.92506
0	-14.62506
0	-23.42506
0	-19.62506
0	-19.22506
3.19	-12.22506
0.11	-12.82506
1.43	-15.02506
0	-22.22506
0	-21.02506
0	-21.22506
0	-23.22506
0	-20.02506
0	-24.82506
0	-21.22506
1.21	-19.22506
0.55	-21.32506
3.85	-14.12506
3.3	-11.52506
1.1	-8.82506
6.93	-10.12506
0.33	-13.92506
0	-18.42506
0	-18.92506
0	-16.12506
0	-13.62506
0	-2.42506
0	-12.82506
0	-11.62506
0.22	-5.72506
3.63	-4.92506
0.22	-4.02506
2.75	-2.92506
4.29	-4.42506
0	-7.02506
9.24	-5.62506
4.95	-6.32506
0.88	-4.42506
0	-9.52506
0	-7.42506
0	-3.02506
0	-2.02506
0	1.97494
0	-2.72506
0	-3.02506
0	-4.62506
0	-4.72506
0	-4.62506
0	-1.72506
0.011	-4.82506
0	-5.72506
0	-3.42506
4.07	-7.92506
0.44	-8.52506
0	-9.62506
0	-7.22506
0	-6.12506
0	-5.12506
0	-5.12506
0	-8.22506
0	-6.32506
0.011	-3.42506
0.011	-2.82506
2.42	-2.02506
0.77	-1.02506
7.26	-1.22506
0	-2.92506
0	0.07494
0	-0.42506
0	-2.12506
0	-1.22506
0	-1.02506
0.88	2.07494
0	1.17494
0.11	1.27494
0.22	1.47494
0.33	0.37494
1.1	-0.62506
3.74	0.97494
0.33	0.37494
9.24	2.97494
0	2.67494
0	1.07494
0.44	2.27494
0	0.07494
2.42	-1.82506
0	2.87494
0	3.87494
0	2.17494
0	4.07494
0	3.47494
0	4.97494
0	5.97494
0	8.37494
0	7.97494
0	8.17494
0	8.47494
0	9.37494
0	10.87494
0	10.77494
0	10.57494
0	8.17494
0.33	9.17494
0	8.97494
0	7.57494
0	8.77494
0	6.97494
0.011	5.27494
9.57	5.87494
2.09	5.67494
0.22	5.77494
0	9.17494
0	7.47494
0	11.27494
0	10.57494
0	10.17494
2.75	8.87494
4.07	9.27494
0	8.87494
0.88	9.27494
0	13.47494
0	15.97494
0.33	16.27494
0	16.37494
0.011	14.37494
1.76	12.07494
1.65	17.07494
0	16.27494
1.54	15.97494
0	10.57494
0	10.37494
0	12.67494
0	14.87494
0	16.77494
0	19.87494
0	20.77494
0	22.67494
0	21.67494
0	19.87494
0	18.27494
0	17.37494
5.94	13.87494
19.8	12.27494
17.6	11.47494
0.33	12.87494
0	12.07494
3.85	12.47494
41.58	13.17494
15.07	9.57494
15.18	9.87494
11.44	11.37494
2.64	11.97494
2.42	12.07494
0	8.07494
0.55	13.27494
0	13.87494
0	15.47494
16.5	14.27494
1.43	9.57494
0.55	11.77494
3.85	10.17494
0.55	10.07494
0.22	13.17494
0.55	9.87494
0	11.27494
9.9	11.27494
8.8	9.17494
1.43	10.37494
11.11	11.27494
2.75	8.47494
7.92	11.87494
3.3	11.47494
2.09	10.17494
19.8	13.27494
3.41	12.37494
6.49	10.47494
2.75	10.37494
3.52	11.37494
0.011	12.97494
0.22	14.77494
0	15.07494
0	14.87494
0	14.27494
0	14.47494
0	15.07494
0	11.87494
0	13.27494
0	13.27494
0	10.67494
0.55	10.57494
6.05	11.57494
0	11.27494
0	11.07494
4.4	11.27494
3.08	9.47494
0	10.37494
22.55	10.87494
23.21	10.17494
11.55	10.77494
1.76	11.47494
0	11.87494
0	11.67494
0	13.57494
0	11.87494
0	11.87494
0	11.27494
0	11.97494
0	12.47494
0	12.37494
2.75	11.57494
1.65	11.97494
0.33	8.57494
2.86	8.07494
18.26	5.97494
0	8.67494
0	7.27494
0	3.57494
0.88	5.57494
0.22	7.77494
7.81	9.77494
7.15	9.97494
0.11	8.07494
0.11	5.77494
18.92	7.67494
11.33	6.77494
0	5.17494
6.71	6.97494
0.011	11.47494
0.55	9.57494
0	4.77494
0	4.07494
0	1.37494
0	0.67494
0	0.47494
0	-0.32506
0	-0.22506
0	0.57494
0	4.77494
0	6.57494
1.87	7.87494
0.22	4.67494
0.33	3.57494
26.4	4.47494
1.65	4.37494
14.85	4.87494
6.16	3.87494
2.86	4.27494
0	5.17494
3.41	3.57494
0.22	6.67494
0.011	5.27494
0	1.37494
0	3.67494
0.011	4.57494
0	3.17494
0	4.17494
0.011	1.67494
0	3.17494
1.65	4.57494
0.88	4.77494
0	1.87494
0	-2.52506
0	-2.92506
0.11	0.97494
0	1.17494
0	-3.72506
0	-3.02506
0.55	-5.32506
15.07	-9.02506
15.62	-6.02506
4.62	-5.12506
9.9	-5.62506
0.66	-14.32506
1.43	-9.32506
5.39	-7.82506
0	-9.02506
0	-17.12506
0	-15.32506
0	-12.12506
9.02	-7.12506
0	-20.12506
0	-17.32506
11.55	-16.72506
1.43	-18.02506
0	-16.02506
13.75	-6.92506
21.12	-4.02506
7.37	-1.92506
14.85	-1.82506
11	-2.22506
31.57	-0.32506
1.76	-1.22506
11.55	-1.52506
3.08	-3.82506
22.22	-3.52506
0.11	-1.82506
3.74	-1.92506
0.77	-6.62506
0	-5.82506
0	-7.52506
0	-18.12506
3.63	-11.62506
2.64	-13.72506
0.33	-16.22506
0	-13.92506
3.85	-5.32506
0	-5.62506
0	-9.82506
0	-2.52506
0	3.17494
0	3.87494
0	-5.02506
0	-10.82506
0.99	-9.82506
0	-13.12506
0	-14.52506
0	-15.12506
